municipality,municipalityLabel,operator,operatorLabel,period,category,categoryLabel,product,productLabel,total,gridusage,energy,aidfee,charge,meteringrate
https://ld.admin.ch/municipality/1,Aeugst am Albis,https://energy.ld.admin.ch/elcom/electricityprice/operator/362,EKZ,2024,https://energy.ld.admin.ch/elcom/electricityprice/category/H1,H1 (Profil),https://energy.ld.admin.ch/elcom/electricityprice/product/standard,Standard,24.57,9.28,11.74,2.30,0.90,0.35
https://ld.admin.ch/municipality/1,Aeugst am Albis,https://energy.ld.admin.ch/elcom/electricityprice/operator/362,EKZ,2024,https://energy.ld.admin.ch/elcom/electricityprice/category/H2,H2 (1600 kWh),https://energy.ld.admin.ch/elcom/electricityprice/product/standard,Standard,23.15,9.28,10.42,2.30,0.90,0.25
https://ld.admin.ch/municipality/1,Aeugst am Albis,https://energy.ld.admin.ch/elcom/electricityprice/operator/362,EKZ,2024,https://energy.ld.admin.ch/elcom/electricityprice/category/H3,H3 (2500 kWh),https://energy.ld.admin.ch/elcom/electricityprice/product/standard,Standard,22.48,9.28,9.75,2.30,0.90,0.25
https://ld.admin.ch/municipality/1,Aeugst am Albis,https://energy.ld.admin.ch/elcom/electricityprice/operator/362,EKZ,2024,https://energy.ld.admin.ch/elcom/electricityprice/category/H4,H4 (5000 kWh),https://energy.ld.admin.ch/elcom/electricityprice/product/standard,Standard,21.35,9.28,8.62,2.30,0.90,0.25
https://ld.admin.ch/municipality/1,Aeugst am Albis,https://energy.ld.admin.ch/elcom/electricityprice/operator/362,EKZ,2024,https://energy.ld.admin.ch/elcom/electricityprice/category/H5,H5 (7500 kWh),https://energy.ld.admin.ch/elcom/electricityprice/product/standard,Standard,20.86,9.28,8.13,2.30,0.90,0.25
https://ld.admin.ch/municipality/1,Aeugst am Albis,https://energy.ld.admin.ch/elcom/electricityprice/operator/362,EKZ,2024,https://energy.ld.admin.ch/elcom/electricityprice/category/H6,H6 (13000 kWh),https://energy.ld.admin.ch/elcom/electricityprice/product/standard,Standard,20.43,9.28,7.70,2.30,0.90,0.25
https://ld.admin.ch/municipality/1,Aeugst am Albis,https://energy.ld.admin.ch/elcom/electricityprice/operator/362,EKZ,2024,https://energy.ld.admin.ch/elcom/electricityprice/category/H7,H7 (25000 kWh),https://energy.ld.admin.ch/elcom/electricityprice/product/standard,Standard,20.06,9.28,7.33,2.30,0.90,0.25
https://ld.admin.ch/municipality/230,Zürich,https://energy.ld.admin.ch/elcom/electricityprice/operator/758,ewz,2024,https://energy.ld.admin.ch/elcom/electricityprice/category/H4,H4 (5000 kWh),https://energy.ld.admin.ch/elcom/electricityprice/product/standard,Standard,19.82,7.45,9.05,2.30,0.85,0.17
https://ld.admin.ch/municipality/230,Zürich,https://energy.ld.admin.ch/elcom/electricityprice/operator/758,ewz,2024,https://energy.ld.admin.ch/elcom/electricityprice/category/H4,H4 (5000 kWh),https://energy.ld.admin.ch/elcom/electricityprice/product/cheapest,Ökostrom,18.95,7.45,8.18,2.30,0.85,0.17
https://ld.admin.ch/municipality/351,Genève,https://energy.ld.admin.ch/elcom/electricityprice/operator/289,SIG,2024,https://energy.ld.admin.ch/elcom/electricityprice/category/H4,H4 (5000 kWh),https://energy.ld.admin.ch/elcom/electricityprice/product/standard,Standard,22.18,8.92,9.81,2.30,0.90,0.25
